{'line': '3', 'src': 'int main() {', 'storage': {'n': '0', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '0', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '5', 'src': 'cin >> n;', 'storage': {'n': '0', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '0', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '6', 'src': 'int i = 0;', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '0', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '8', 'src': 'int w = 0;', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '0', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '9', 'src': 'while (i < n) {', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '0', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '10', 'src': 'cin >> a[i];', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '0', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '11', 'src': 'i++;', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '0', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '9', 'src': 'while (i < n) {', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '1', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '10', 'src': 'cin >> a[i];', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '1', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '11', 'src': 'i++;', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '1', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '9', 'src': 'while (i < n) {', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '2', 'min': '0', 'max': '0', 'w': '0'}}
{'line': '10', 'src': 'cin >> a[i];', 'storage': {'n': '6', 'a': '<error reading variable a (value requires 400000 bytes, which is more than max-value-size)>', 'i': '2', 'min': '0', 'max': '0', 'w': '0'}}
